repo_name,keypoints,Code,bias,objectionable,hallucination,mitigation
microsoft/speecht5_tts,"1. Bias, risks and limitations section, recommendations section, out-of-scope section and environmental impact section all left empty.",C26,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,false positive,,,,,
microsoft/unispeech-sat-base,false positive,,,,,
microsoft/unixcoder-base,"1. out-of-scope use section, environmental impact section left empty.
2. Make reference to literatures for ethical considerations. This model can also generate harmful content, and users should be made aware of them.","C7, C106, C107",brief mention,,,
microsoft/wavlm-base-plus,false positive,,,,,
Minej/bert-base-personality,"1. Use the model for critical decision such as employment, education and legal matters are out of scope.
2. The model is limited by its context, factors other than text can impact personality traits. 
3. The model learns pattern from the training dataset, and may vary when applied to other demographic or cultural backgrounds.
4. Users should be cautious on sharing their personal data.
5. To mitigate the risk of using the model, users should understand 2, 3 and 4.","C25, C32, C54",,,,
minimaxir/sdxl-wrong-lora,false positive,,,,,
mistralai/Mistral-7B-Instruct-v0.1,1. They look forward to make the model respect guardrails in the future.,C69,,,,
Mitsua/mitsua-diffusion-cc0,"1. The model should not be used to generate harmful content.
2. Authors claim no rights to the model output, and users are accountable for the model output.
3. Users need to use the same license if they intend to re-distribute the model weights and use for commercial purpose or as a service.","C19, C41",,,,
ml6team/keyphrase-extraction-distilbert-inspec,false positive,,,,,
MonoHime/rubert-base-cased-sentiment-new,"1. The model should not be used to do harmful thing to people.
2. Make reference to literatures for bias and fairness issues. The prediction may have harmful stereotypes to certain groups.
4. Recommend users to be aware of the bias and risk when using.
5. Further recommendation is left pending.
6. Environmental impact section is left blank with template.","C7, C8, C9, C26, C70, C106, C107",,,,
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,"1. Make reference to the paper for the model and dataset for ethical issues, stating that the model output will reproduce statistical pattern in training data.",C40,,,,
MoritzLaurer/deberta-v3-large-zeroshot-v1,1. Make reference to the paper for the model and dataset for ethical issues.,C40,,,,
MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary,1. Make reference to the paper for the model and dataset for ethical issues.,C40,,,,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,"1. Make reference to the paper for the model and dataset for ethical issues.
2. The dataset compsed of data created using machine translation, which reduce the data quality.",C40,,,,
mosaicml/mpt-30b,"1. The model may generate harmful content, and thus cannot be directly deployed without moderation, or used for human-facing interations.
2. The model cannot be used for producing factually accurate information, and because training on public dataset (which was cleaned), it still could generate inappropriate contents.
3. The license does not constitute legal advice, and authors are not responsible for any use of the model.","C5, C11, C19, C78, C118, C119",,brief mention,,
mosaicml/mpt-30b-instruct,"1. The model may generate harmful content, and thus cannot be directly deployed without moderation, or used for human-facing interations.
2. The model cannot be used for producing factually accurate information, and because training on public dataset (which was cleaned), it still could generate inappropriate contents.
3. The license does not constitute legal advice, and authors are not responsible for any use of the model.","C5, C11, C19, C78, C118, C119",,brief mention,,
mosaicml/mpt-7b,"1. The model may generate harmful content, and thus cannot be directly deployed without moderation, or used for human-facing interations.
2. The model cannot be used for producing factually accurate information, and because training on public dataset (which was cleaned), it still could generate inappropriate contents.
3. The license does not constitute legal advice, and authors are not responsible for any use of the model.","C5, C11, C19, C78, C118, C119",,brief mention,,
mosaicml/mpt-7b-chat,"1. The model may generate harmful content, and thus cannot be directly deployed without moderation, or used for human-facing interations.
2. The model cannot be used for producing factually accurate information, and because training on public dataset (which was cleaned), it still could generate inappropriate contents.
3. The license does not constitute legal advice, and authors are not responsible for any use of the model.","C5, C11, C19, C78, C118, C119",,brief mention,,
mrm8488/t5-base-finetuned-span-sentiment-extraction,1. The dataset contains inappropriate content.,"C122, C124",,,,
mshenoda/roberta-spam,false positive,,,,,
mtg-upf/discogs-maest-30s-pw-73e-ts,"1. This model is under non-comercial application, and proprietary license.
2. The training dataset is an overrepresentation of western music (diversity not good enough)
3. List the carbon emission for training this model.",C117,,,,
nateraw/bert-base-uncased-emotion,false positive,,,,,
nbroad/ESG-BERT,"1. The model should not be used to do harmful thing to people.
2. Make reference to literatures for bias and fairness issues. The prediction may have harmful stereotypes to certain groups.
4. Recommend users to be aware of the bias and risk when using.
5. Environmental impact section is left blank with template.","C7, C8, C9, C26, C70, C106, C107",brief mention,,,
NeuML/t5-small-txtsql,false positive,,,,,
nitrosocke/Ghibli-Diffusion,"1. The model should not be used to generate harmful content.
2. Authors claim no rights to the model output, and users are accountable for the model output.
3. Users need to use the same license if they intend to re-distribute the model weights and use for commercial purpose or as a service.","C19, C41",,,,
nlpaueb/legal-bert-base-uncased,false positive,,,,,
NousResearch/Nous-Hermes-llama-2-7b,"1. The model is trained on synthetic dataset from GPT-4 outputs.
2. In the future, the plan to give more high quality training data, and filter low quality data.",C69,,,,
ntu-spml/distilhubert,false positive,,,,,
nvidia/speakerverification_en_titanet_large,false positive,,,,,
olm/olm-roberta-base-dec-2022,1. The training dataset for this model is cleaned.,C5,,,,
openai-gpt,"1. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
2. Make reference to literature on the bias and fairness issues.
3. The model's output can be biased, and code samples for gender biased prediction is shown.
4. The bias can affect fine-tuned version of this model.
5. The training data does not contain complete information about the world, and therefore, and have bias.
6. This model is more robust, but still exhibit conterintuitive behaviour.The evaluation of the robustness is provided on a dataset.
7. The environmental impact section, for carbon emission, it is left empty.","C7, C11, C12, C26, C40, C79, C104, C116",code example,,,
openai/clip-vit-base-patch16,"1. Does not recommend any deployment use cases
2. Not recommended for non-deployed use cases such as image search, unless perform fixed class taxonomy in-domain test, due to varied performance of the model, and its potential harm.
3. Uses case for surveillance and facial recognition are out of scope, due to lack of testing norms and fair use check.
4. Model biases depend on class design, and disparities were found, which was exemplified with an experiment they run related to racial, gender and age, with results displayed.
5. Aspiration of this model to be used for research in biases and robustness of the model.","C50, C78, C128",,,,
openai/shap-e,1. Make reference to the original model card for limitations and bias of this model.,C57,,,,
openai/whisper-base,"1. The model can be used for research purpose to study model robustness and biases.
2. Use this model to transcribe recordings of individuals without consent or for any subjective classification like infer human attriobutes is malicious use. It is not recommend to use this model for high-risk domains.
3. The model should be assessed forc robustness before deploying them in a particular context.
4. THe model is trained in weakly supervised mannaer and the data is noisy, thus leading to hallucination behaviour of the model.
5. The model performs different for different languages, accents and dialects, particular for lower-resource languages.
6. The model has potential harmful use scenarios, such as survelliance purposes, which raise safety concerns.","C1, C21, C25, C40, C72, C103, C112, C128",brief mention,,explain,
OpenBuddy/openbuddy-zephyr-7b-v14.1,"1. The model potentially produce harmful or erroneous content, and should not be used in high-stakes situations, such as medical field, controlling software and hardware systems.
2. The use of this model is at the user's stake, and should not influence the authors of this model.","C1, C19, C25, C119",,brief mention,brief mention,
openchat/openchat_3.5,"1. The model can generate hallucination information, and users should verify any critical information obtained from the model.
2. The model could generate harmful and biased content, making it crucial to apply AI safety measure.","C1, C9, C22, C106, C119, C130",brief mention,brief mention,brief mention,actionable
openlm-research/open_llama_7b_v2,1. This model as well as the model weights are with permissive license open source model.,C41,,,,
optimum/distilbert-base-uncased-finetuned-sst-2-english,"1. The model can produce biased predictions for underrepresented population. An example is made in movie making for different countries.
2. It is recommended that users to evaluate the risk and biases on three datasets.","C45, C103, C128",example,,,actionable suggestion
optimum/gpt2,false positive,,,,,
PAIXAI/Astrid-1B,"1. The training data for this model contains biased or harmful contents, but the developers do not support this.
2. The content generated can be incorrect, and it is up to the users to evaluate the generated content.
3. The authors are not responsible for any damage caused by using this model, and users are supposed to use the model responsibly and ethically, not intentionally creating harmful content.
4. Encourage the users to report ethical issues to the maintainers of this model, and they will be used for further improvement of the model.","C1, C19, C22, C83, C121, C123, C125",,,brief mention,actionable
pankajmathur/orca_mini_3b,"1. The model cannot be used for producing factually accurate information, and because training on public dataset (which was cleaned), it still could generate inappropriate contents.
2. The license does not constitute legal advice, and authors are not responsible for any use of the model.","C5, C11, C19, C41",,,,
patrickjohncyh/fashion-clip,"1. The model inherit limitations and bias in CLIP model, and the training data have explicit notions of gender.","C42, C125",,,,
pdelobelle/robbert-v2-dutch-base,"1. Make reference to literature about discussed bias for the model
2. Provide evaluated gender bias for this model.","C40, C104",evaluated result,,,
pedramyazdipoor/persian_xlm_roberta_large,1. The training dataset is filtered.,C5,,,,
petals-team/StableBeluga2,"1. The mode's output can be inaccurate or biased due to test not able to cover all cases, and only conducted in English, thus requiring safty testing and tuning before deloyment.","C1, C106, C128, C129",brief mention,,brief mention,
Phind/Phind-CodeLlama-34B-v2,"1. The model underwent limited testing, and need to go through safety test before deployment.","C1, C106, C128, C129",,,,
pierreguillou/ner-bert-large-cased-pt-lenerbr,false positive,,,,,
PlanTL-GOB-ES/roberta-base-bne,"1. The model is not wel evaluated in bias perspective, and the authors intend to do it as future work.
2. Provide code exmpale for biased output for this model.
3. It is the users' responsibility to comply with corresponding regulations when using this model.
4. The authors of this model is not liable for any harmful contents raise by any use.","C19, C33, C69, C105",code example,,,
PrimeQA/tydiqa-boolean-answer-classifier,1. The bias in the pre-existing model may present in this fine-tuned model.,C42,,,,
princeton-nlp/Sheared-LLaMA-1.3B,1. This model should also comply with the llama2 model license.,C24,,,,
princeton-nlp/sup-simcse-roberta-large,"1. out-of-scope use section, environmental impact section left empty. 
2. Make reference to literatures for ethical considerations. This model can also generate harmful content, and users should be made aware of them.",C26,,,,
princeton-nlp/unsup-simcse-bert-base-uncased,"1. out-of-scope use section, environmental impact section left empty. 
2. Make reference to literatures for ethical considerations. This model can also generate harmful content, and users should be made aware of them.",C26,,,,
prithivida/parrot_paraphraser_on_T5,false positive,,,,,
pszemraj/led-large-book-summary,false positive,,,,,
pszemraj/long-t5-tglobal-base-sci-simplify-elife,false positive,,,,,
pyannote/embedding,false positive,,,,,
PygmalionAI/pygmalion-2-13b,"1. The model is freely available for both commercial and non-commercial use.
2. The traing data contain inappropriate contents, and the model could generate harmful contents, or factually wrong contents.","C1, C118, C119, C122, C124",,brief mention,brief mention,
pysentimiento/robertuito-emotion-analysis,false positive,,,,,
pysentimiento/robertuito-hate-speech,false positive,,,,,
pysentimiento/robertuito-sentiment-analysis,false positive,,,,,
Rakib/roberta-base-on-cuad,1. Environmental impact of carbon emission left blank.,C26,,,,
Riiid/sheep-duck-llama-2,"1. Before deployment, developers should perform safety test and tuning for their specific use, as it cannot cover all test case scenarios, and output can be inaccurate or biased.
2. Provide reference to external responsible use guide.
3. This model should follow llama license, and provide no gurantees","C24, C36, C128, C129",,,,
roberta-base-openai-detector,"1. Use this model to flag academic misconduct is out-of-scope, as this model is not accurate enough, and need to be used accompanied with non-automated approach
2. This model should not be used to create harmful content to people, and one misuse is use this model to evade detection.
3. Users should be made aware of model's risk.
4. Make reference to literatures discussing the potential bias issues of this model.
5. Environmental impact section, with the carbon emission left empty.","C26, C40, C70, C84",,,,
roberta-large,"1. Training data for this model contains un-neutral contents from internet.
2. The model's output can be biased, and code samples for gender biased prediction is shown.
3. The bias can affect fine-tuned version of this model.","C12, C104, C125",code eample,,,
roberta-large-mnli,"1. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
2. The environmental impact section, with carbon emission left empty.
3. Make reference to bias and fairness issue literatures, and provide code example for the bias output of this model.
4. Recommend to make users be aware of the bias and risk.","C7, C8, C9, C11, C26, C57",,,,
runwayml/stable-diffusion-inpainting,"1. Not recommend to generate factual, or true representation of real life even or people, due to the model not trained with this behaviour.
2. Various malicious use of the model are listed to be model misuse.
3. Model's behaviour on other languages migth be insufficient and only represent western culture (which can reinforce social biases), as it is trained on a dataset consists of primarily English descriptions.
4. Environmental impact report with hardware, computing hour, computing provider, and carbon emission.","C11, C35, C70, C74, C75, C103, C112",brief mention,,,
Salesforce/blip2-flan-t5-xxl,"1. This model uses one of the language model as its language model component, and therefore inherits the same risk and limitation of potentially generating harmful content, and cannot be deployed into applications without safety and fairness assessment.
2. The fine-tuned dataset is from internet, and can poetntially generating inappropraiet contents or bias in the data.","C42, C91, C106, C120, C128",brief mention,brief mention,,
Salesforce/blip2-opt-2.7b,"1. This model uses one of the language model as its language model component, and therefore inherits the same risk and limitation of potentially generating harmful content, and cannot be deployed into applications without safety and fairness assessment.
2. The fine-tuned dataset is from internet, and can poetntially generating inappropraiet contents or bias in the data.","C42, C91, C106, C120, C128",brief mention,brief mention,,
Salesforce/codet5p-110m-embedding,false positive,,,,,
Salesforce/ctrl,"1. Make reference to literatures about bias and fairness.
2. The model can be misused to cause harm to individuals, organisations and other entities. Therefore, they evaluated the model themself, and by third parties before releasing the model.
3. They removed undesirable sources from the training dataset, and by probing the generation, they tuned the model to limit the misuse.
4. The intend purpose for this model is for researchers to guard against malicious use.
5. Recommend to monitor and detect the use, further screen input and output of the model of negative inputs.
6. Use this model to generate harmful things to humans is considered out-of-scope.","C4, C7, C21, C22, C26, C57, C65, C77, C127",,,,actionable
Salesforce/safety-flan-t5-base,false positive,,,,,
sasha/regardv3,false positive,,,,,
savasy/bert-base-turkish-sentiment-cased,false positive,,,,,
sazyou-roukaku/BracingEvoMix,false positive,,,,,
sebastian-hofstaetter/colbert-distilbert-margin_mse-T2-msmarco,1. The model inherits social bias from the base model as well as the training dataset.,"C42, C125",brief mention,,,
segmind/Segmind-Vega,"1. This model intends to provide researchers to probe its limitations and bias.
2. This model offers a safe and controlled way to generate content, reducing the risk of harmful or inappropraite outputs.
3. This model is not intende to create accurate representation of people or real-world information, and not suitable for high accuracy tasks.
4. The model is exposed to a diverse dataset, representing their efforts towards enabling more equitable models, but still can generate biased content.","C11, C21, C106, C127",brief mention,,,
segmind/SSD-1B,"1. This model intends to provide researchers to probe its limitations and bias.
2. This model offers a safe and controlled way to generate content, reducing the risk of harmful or inappropraite outputs.
3. This model is not intende to create accurate representation of people or real-world information, and not suitable for high accuracy tasks.
4. The model is exposed to a diverse dataset, representing their efforts towards enabling more equitable models, but still can generate biased content.","C11, C21, C106, C127",brief mention,,,
skt/ko-gpt-trinity-1.2B-v0.5,"1. The training dataset contain inappropriate contents, and therefore could generate inappropriate texts.
2. The model is not going to perform as well in other languages or dialets of Korean.
3. Limited transparency on model prediction and interpretion.","C66, C103, C122, C124",brief mention,,,
soleimanian/financial-roberta-large-sentiment,false positive,,,,,
speechbrain/mtl-mimic-voicebank,false positive,,,,,
speechbrain/spkrec-ecapa-voxceleb,false positive,,,,,
stabilityai/japanese-stablelm-base-alpha-7b,"1. The training data after applied with cleansing filters, still contain inappropraite content, and therefore recommend users to exercise with caution when using the model.
2. Use the model for cause harm to people is not recommended.","C5, C8, C121, C124",,,,
stabilityai/sd-turbo,"1. This model intends to provide researchers to probe its limitations and bias.
2. Safe model deployment potentilly can still generate harmful content.
3. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
4. The model should not be used to violate stablility AI acceptable use policy.","C11, C21, C33, C120",,brief mention,,
stabilityai/stable-diffusion-x4-upscaler,"1. This model intends to provide researchers to probe its limitations and bias. 
2. Safe model deployment potentilly can still generate harmful content.
3. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
4. It is considered model misuse to generate harmful content to people, or violation licnese and copyrights.
5. The training dataset contains inappropriate contents, and the authors have filtered the dataset to mitigate the issue.
6. The model output represent western cultures, and the performance for other models degrade, which will exacerbate biases.
7. List the environmental impact of the model with carbon emission for training the model.","C5, C11, C21, C33, C35, C70, C75, C103, C120, C122, C123",brief mention,brief mention,,
stabilityai/stable-diffusion-xl-refiner-1.0,"1. This model intends to provide researchers to probe its limitations and bias. 
2. Safe model deployment potentilly can still generate harmful content.
3. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
4. The model generation could reinforce biases.","C11, C21, C106, C120",brief mention,brief mention,,
stabilityai/stable-video-diffusion-img2vid-xt,"1. This model intends to provide researchers to probe its limitations and bias. 
2. Safe model deployment potentilly can still generate harmful content.
3. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
4. The model should not be used to violate stablility AI acceptable use policy.","C11, C21, C33, C120",,brief mention,,
stabilityai/StableBeluga-13B,"1. Before deployment, developers should perform safety test and tuning for their specific use, as it cannot cover all test case scenarios, and output canbe inaccurate or biased.","C106, C128, C129",brief mention,,brief mention,
stabilityai/stablelm-3b-4e1t,"1. Need to provide link to the license when using the model, and cannot suggest authors endorse users' use purpose.
2. The model can have unsafe or undesirable behaviour, therefore, must be corrected via evaluation and fine-tunening before deployment
3. The training dataset, even after cleasning filters, still contain inappropriate contents, and can reflect to the model output. Therefore, recommend users to exercise with caution in production systems.
4. Do not use this model for applications to cause harm to others.","C5, C8, C41, C70, C119, C120, C128, C129",,brief mention,,
stabilityai/stablelm-zephyr-3b,"1. Authors made efforts for making this model ethical compliance. They assess the harmful input, and red team in areas of self-harm methods, misinformation and hate speech. These findings were incorporated into the model release.
2. The model inherent biases and limitations in other LLM models.
3. The model is not trained against adversarial inputs, and suggest to pari with input and output classifiers to prevent harmful responses.
4. Need safe performance evaluation before apply to downstream applications.
5. Use the model to harm people is out-of-scope use.","C22, C42, C65, C70, C128",,,,actionable
StanfordAIMI/stanford-deidentifier-base,false positive,,,,,
suno/bark,"1. They wish their model to be used to improve accessibility tools in different languages.
2. Malicious use of this model is possible, such as voice clone. To mitigate this misuse, they also release classifier which can detect generated audio.","C87, C88, C89",,,,
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,false positive,,,,,
t5-small,"1. Bias, risks, and limitations section, out-of-scope use section, recommendation section, and environmental impact section left empty.",C26,,,,
TalTechNLP/voxlingua107-epaca-tdnn,"1. The model is trained on a dataset, which inherent limitations and biases from it. This includes less accurate for smaller languages, works worse for female speech, foreign accent, and children's peech, and person with speech disorders.","C103, C104, C110, C125",brief mention,,,
teknium/OpenHermes-2-Mistral-7B,false positive,,,,,
TheBloke/CodeLlama-34B-fp16,"1. Use this model that violate laws, regulations or license is considered out-of-use, so is using languages other than English.
2. List the estimated carbon emission when training this model, and state that the emission is offset by Meta's sustainability program.
3. Make reference for safety evaluation to the research paper.
4. Before deployment, developers should perform safety test and tuning for their specific use, as it cannot cover all test case scenarios, and output canbe inaccurate or biased.
5. Make reference to external responsible use guide.","C33, C35, C36, C128, C129",,,,
TheBloke/deepseek-coder-33B-instruct-AWQ,false positive,,,,,
TheBloke/EverythingLM-13B-V3-16K-GPTQ,1. The model is uncensored.,C62,,,,
TheBloke/Llama-2-13B-fp16,"1. This model is fine-tuned using RLHF to align with human preference for helpfulness and safety.
2. Use this model that violate laws, regulations or license is considered out-of-use, so is using languages other than English.
3. List the estimated carbon emission when training this model, and state that the emission is offset by Meta's sustainability program.
4. Provide evaluation result for the pretrained models on automatic safety benchemark.
5. Before deployment, developers should perform safety test and tuning for their specific use, as it cannot cover all test case scenarios, and output canbe inaccurate or biased.
6. Make reference to external responsible use guide.","C1, C4, C33, C35, C36, C106, C120, C128, C129",brief mention,evaluated result,evaluated result,
TheBloke/Llama-2-70B-Chat-GPTQ,"1. This model is fine-tuned using RLHF to align with human preference for helpfulness and safety.
2. Use this model that violate laws, regulations or license is considered out-of-use, so is using languages other than English.
3. List the estimated carbon emission when training this model, and state that the emission is offset by Meta's sustainability program.
4. Provide evaluation result for the pretrained models on automatic safety benchemark.
5. Before deployment, developers should perform safety test and tuning for their specific use, as it cannot cover all test case scenarios, and output canbe inaccurate or biased.
6. Make reference to external responsible use guide.","C1, C4, C33, C35, C36, C106, C120, C128, C129",brief mention,evaluated result,brief mention,
TheBloke/LLaMA2-13B-Tiefighter-AWQ,"1. In some cases, there can be data leakage problem, and could mitigate by using > as a prefix. However, this can result in stronger fiction bias.
2. This model focus is on fiction, so the provided information can be not factually accurate.","C1, C22, C32",,,brief mention,actionable
TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ,1. They expect to develop ways to make the model repect guardrails in the future.,C69,,,,
TheBloke/orca_mini_v3_13B-GPTQ,"1. This model should follow llama license, and provide no gurantees.
2. The model could produce inaccurate results. Despite refining the pretraining data, the model coudl still generate inappropriate and biased content.
3. Recommend users to exercise caution and check information.","C1, C5, C8, C106, C119, C120",brief mention,brief mention,brief mention,
TheBloke/Synthia-70B-v1.2b-AWQ,false positive,,,,,
TheBloke/Upstage-Llama-2-70B-instruct-v2-AWQ,false positive,,,,,
TheBloke/Wizard-Vicuna-13B-Uncensored-GPTQ,"1. This model is uncensored, and has no guradrails.
2. Users are responsible for anything they interact with the model.",,,,,
TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ,"1. This model is uncensored, and has no guradrails.
2. Users are responsible for anything they interact with the model.",,,,,
TheBloke/zephyr-7B-alpha-GPTQ,"1. The model is not aligned with human preferences for safety with techniques like RLHF, therefore, the output can be problematic.",C59,,,,
thibaud/controlnet-sd21,"1. It is considered model misuse to harm people using this model. This includes generating inappropriate images to harm people, or contents that propagates stereotypes.",C70,,,,
THUDM/chatglm3-6b,"1. The model weights are free to use for research, and for commercial use after finishing questionnaire, under circumstance of not violating the license (which provides an external link).","C24, C41",,,,
THUDM/cogvlm-chat-hf,"1. To use the model weights, users need to comply with model license (with external link)","C24, C41",,,,
tiiuae/falcon-180B,"1. This model can be used for commercial purpose.
2. Production use need to go through risk assessment and mitigation, while use the model for harmful purpose is considered out of scope.
3. This model is mostly trained on a few languages, and will not generalise to other language. 
4. The training dataset is representative of the web, will carry stereotypes and biasees encountered online.","C70, C91, C125, C129, C130",,,,
tiiuae/falcon-40b,"1. This model can be used for commercial purpose without any restrictions.
2. Production use need to go through risk assessment and mitigation, while use the model for harmful purpose is considered out of scope.
3. This model is mostly trained on a few languages, and will not generalise to other language. 
4. The training dataset is representative of the web, will carry stereotypes and biasees encountered online.","C70, C91, C125, C129, C130",,,,
tiiuae/falcon-rw-1b,"1. Production use need to go through risk assessment and mitigation, while use the model for harmful purpose is considered out of scope.
2. This model is mostly trained on a few languages, and will not generalise to other language. 
3. The training dataset is representative of the web, will carry stereotypes and biasees encountered online.","C70, C91, C125, C129, C130",,,,
timm/convit_base.fb_in1k,false positive,,,,,
timm/swinv2_cr_tiny_ns_224.sw_in1k,false positive,,,,,
timm/vit_large_patch14_clip_224.openai_ft_in12k_in1k,false positive,,,,,
Titeiiko/OTIS-Official-Spam-Model,1. The intend use of this model is to mitigate and combat the unwanted and malicious content on digital communication channels.,C91,,,,
tner/roberta-large-ontonotes5,false positive,,,,,
togethercomputer/GPT-JT-6B-v1,false positive,,,,,
tomh/toxigen_roberta,false positive,,,,,
transfo-xl-wt103,"1. Not recommend to generate factual, or true representation of real life even or people, due to the model is not trained on such data.
2. Make reference to literatures for bias and fairness issues.","C7, C11",,,,
ufal/robeczech-base,"1.  Make reference to literatures for bias and fairness issues.
2. The model prediction can contain harmful and stereotypical contents, therefore recommend the users to be made ware of the risks, biases and limitations of the model.","C7, C8, C9, C106",brief mention,,,
UFNLP/gatortron-base,"1. The authors applied de-identification method for sensitive protected health information clinical text, and provide the way they did it as well as the reference system.",C5,this is interesting,,,
unitary/toxic-bert,"1. This model will classify sentences as toxic if words containing swearing, insults and other, which could be bias towards some minority groups.
2. The intended use of this model is to aird flagging out harmfu content quicker.
3. Provide literatures to biases in this particular context: hate speech detection.","C7, C11, C91",,,,
vilsonrodrigues/falcon-7b-instruct-sharded,"1. Harmful use of the model is considered out-of-scope use, recommend to develop guardrails, assessment and mitigation before applying the model to production use.
2. The training dataset is representative of the web, will carry stereotypes and biases encountered online.","C91, C125, C130",,,,
vinai/PhoGPT-7B5-Instruct,"1. The model can generate harmful, biased or factually incorrect content,  answer unsafe questions. Therefore recommend users to interact with caution.","C1, C9, C46, C106, C118",brief mention,,,
vinid/plip,"1. The model can be used by researchers to understand robustness, and biases factors of machine learning models.
2. Does not recommend any deployment use cases
3. Not recommended for non-deployed use cases such as image search, unless perform fixed class taxonomy in-domain test, due to varied performance of the model, and its potential harm.
4. This model is not trained or evaluated in languages other than English, therefore, it should only be used in English.
5. The data is in compliance with Twitter policy for data usage and sharing, and also detailed how they follow the policy to enable privacy concern for the data. 
6. The results does not constitute medical advice, and should be use as own risk, and follow the laws regulations and ethical considerations.
7. The authors do not guarantee anything for the model and disclaim liability from the model use.",C21,,,,
w11wo/indonesian-roberta-base-sentiment-classifier,1. The biases in the pretrained model as well as the dataset can be carried over to the result of this model.,"C42, C106, C125",brief mention,,,
WarriorMama777/OrangeMixs,"1. Cannot use the model to produce illegal or harmful content.
2. Authors claim no rights to the model outputs, and users are accountable for the model use, requiring them not to violate license.
3. If redistribute the weights of the model, same license need to be attached.","C19, C33, C41, C70",,,,
WizardLM/WizardLM-70B-V1.0,false positive,,,,,
xlm-mlm-en-2048,"1. Use this model to harm people is considered out-of-scope use.
2. Make reference to literatures for ethical considerations. This model can also generate harmful content, and users should be made aware of them.
3. Carbon emission left empty entry","C7, C8, C9, C26, C70",,,,
yahma/llama-7b-hf,"1. The model is not trained with human feedback, thus could generate offensive content or unhelpful answers.
2. There are 20 languages, but the training dataset contains majorly English, and thus the model is better performing in English than other languages. This also applies to different dialectrs.
3. The dataset is from web, and expect it will reflect biases in the source. And they evaluate the biases for different perspectives, as well as the toxicity of the model generations.
4. the model is not intended to inform decisions to human.
5. To mitigate the issue, the authors filtered the data from the web using several techniques.
6. The model should not be applied for downstream applicatrions without investigation and mitigation of the risks.","C5, C25, C65, C106, C112, C118, C128, C130",brief mention,,,
yiyanghkust/finbert-esg,false positive,,,,,
yiyanghkust/finbert-esg-9-categories,false positive,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
